                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     72,               0.052363,               0.016017,               0.011356,              0.0012571,                0.51704,                0.57333,                0.43297,                0.22173,                0.44235,                0.53333,                0.38073,                 0.1149,               0.050416,               0.014587,              0.0079813,              0.0018727,              0.0064855,              0.0064855,              0.0064855
                     73,                0.04196,               0.016801,              0.0096971,              0.0013574,                 0.3659,                   0.56,                0.37695,                 0.1574,                0.41941,                   0.32,                0.30309,               0.085697,               0.055053,               0.014485,              0.0083084,              0.0012547,               0.006436,               0.006436,               0.006436
                     74,               0.044385,               0.018671,               0.010902,              0.0013387,                0.44531,                   0.32,                0.29886,                0.12526,                0.44531,                   0.32,                0.29154,                0.08465,               0.065889,               0.017169,              0.0085716,              0.0014015,              0.0063865,              0.0063865,              0.0063865
                     75,               0.047504,                0.01492,               0.010321,              0.0011771,                0.28307,                    0.4,                0.24167,                 0.1034,                0.26577,                0.33333,                0.18442,               0.047168,               0.070249,               0.018652,              0.0085096,              0.0015481,               0.006337,               0.006337,               0.006337
                     76,                0.04517,               0.017392,               0.011814,              0.0012552,                0.36509,                   0.36,                0.28214,                0.13259,                0.35083,                0.33333,                0.24268,               0.074088,               0.067392,               0.018204,               0.008378,              0.0017195,              0.0062875,              0.0062875,              0.0062875
                     77,               0.047198,                0.01462,                 0.0121,              0.0013534,                 0.4553,                   0.36,                0.29055,                0.13321,                0.48278,                0.37333,                0.30306,               0.097714,               0.066494,                0.01695,              0.0082102,              0.0018278,               0.006238,               0.006238,               0.006238
                     78,                0.04404,               0.016579,              0.0099208,              0.0012897,                0.40176,                0.45333,                0.33715,                0.15886,                0.49876,                0.34667,                0.31415,                0.10723,               0.061905,               0.017534,              0.0083838,              0.0019751,              0.0061885,              0.0061885,              0.0061885
                     79,               0.048066,               0.013377,              0.0094025,              0.0014315,                0.45781,                   0.44,                0.35033,                0.14403,                0.41705,                    0.4,                 0.3113,                0.10507,               0.063049,               0.016529,              0.0081768,              0.0017845,               0.006139,               0.006139,               0.006139
                     80,               0.049257,               0.017513,               0.010683,              0.0012864,                0.49005,                   0.52,                0.40783,                0.19805,                0.47749,                0.50667,                0.37895,                0.12421,               0.052853,               0.015468,               0.008255,              0.0014184,              0.0060895,              0.0060895,              0.0060895
                     81,               0.044002,               0.016397,               0.011613,              0.0014166,                0.40796,                0.60643,                0.44429,                0.19152,                0.43648,                   0.56,                0.41807,                0.14088,               0.051194,               0.014899,              0.0077829,              0.0012832,                0.00604,                0.00604,                0.00604
                     82,               0.041934,               0.013991,               0.010394,              0.0014488,                0.48089,                0.58667,                0.46853,                0.22325,                 0.4526,                0.56226,                0.44462,                0.15691,               0.047768,               0.013607,              0.0077286,              0.0012775,              0.0059905,              0.0059905,              0.0059905
                     83,               0.044974,                0.01626,              0.0098678,              0.0014054,                0.56419,                0.46667,                0.47108,                0.23874,                0.54807,                0.45333,                0.44684,                0.15712,               0.050011,               0.013791,              0.0075359,              0.0012852,               0.005941,               0.005941,               0.005941
                     84,               0.043232,               0.020009,               0.010794,              0.0013617,                0.51929,                    0.6,                0.51716,                0.24859,                0.49401,                0.57333,                0.49088,                0.17394,               0.042902,               0.012306,              0.0075798,              0.0012558,              0.0058915,              0.0058915,              0.0058915
